Child_ID,Exam,Goal,Grade,Title,Type,Format_refrence,Section_name,Subject,Subject_tagged,Learnpath_name,Learnmap_id,Chapter
3615594,IBPS PO Mains,Banking,PrePG,Counting Principles,learn_chapter,5ec586770c88fe586096193e,Learn Quantitative Aptitude Chapters From IBPS PO Mains,Quantitative Aptitude,Quantitative Aptitude,banking--ibps po mains--quantitative aptitude--arithmetic--counting principles,5ec586770c88fe586096193e/Banking/IBPS PO Mains/Quantitative Aptitude/Arithmetic/Counting Principles,counting principles
3615594,IBPS PO Mains,Banking,PrePG,Number Systems,learn_chapter,5ec586770c88fe586096193e,Learn Quantitative Aptitude Chapters From IBPS PO Mains,Quantitative Aptitude,Quantitative Aptitude,banking--ibps po mains--quantitative aptitude--arithmetic--number systems,5ec586770c88fe586096193e/Banking/IBPS PO Mains/Quantitative Aptitude/Arithmetic/Number Systems,number systems
3615594,IBPS PO Mains,Banking,PrePG,Percentages,learn_chapter,5ec586770c88fe586096193e,Learn Quantitative Aptitude Chapters From IBPS PO Mains,Quantitative Aptitude,Quantitative Aptitude,banking--ibps po mains--quantitative aptitude--arithmetic--percentages,5ec586770c88fe586096193e/Banking/IBPS PO Mains/Quantitative Aptitude/Arithmetic/Percentages,percentages
3615594,IBPS PO Mains,Banking,PrePG,Progression and Series,learn_chapter,5ec586770c88fe586096193e,Learn Quantitative Aptitude Chapters From IBPS PO Mains,Quantitative Aptitude,Quantitative Aptitude,banking--ibps po mains--quantitative aptitude--arithmetic--progression and series,5ec586770c88fe586096193e/Banking/IBPS PO Mains/Quantitative Aptitude/Arithmetic/Progression and Series,progression and series
3615594,IBPS PO Mains,Banking,PrePG,"Ratio, Proportion and Variation",learn_chapter,5ec586770c88fe586096193e,Learn Quantitative Aptitude Chapters From IBPS PO Mains,Quantitative Aptitude,Quantitative Aptitude,"banking--ibps po mains--quantitative aptitude--arithmetic--ratio, proportion and variation","5ec586770c88fe586096193e/Banking/IBPS PO Mains/Quantitative Aptitude/Arithmetic/Ratio, Proportion and Variation","ratio, proportion and variation"
3615594,IBPS PO Mains,Banking,PrePG,Algebraic Expression,learn_chapter,5ec586770c88fe586096193e,Learn Quantitative Aptitude Chapters From IBPS PO Mains,Quantitative Aptitude,Quantitative Aptitude,banking--ibps po mains--quantitative aptitude--algebra--algebraic expression,5ec586770c88fe586096193e/Banking/IBPS PO Mains/Quantitative Aptitude/Algebra/Algebraic Expression,algebraic expression
3615594,IBPS PO Mains,Banking,PrePG,Geometry,learn_chapter,5ec586770c88fe586096193e,Learn Quantitative Aptitude Chapters From IBPS PO Mains,Quantitative Aptitude,Quantitative Aptitude,banking--ibps po mains--quantitative aptitude--geometry--geometry,5ec586770c88fe586096193e/Banking/IBPS PO Mains/Quantitative Aptitude/Geometry/Geometry,geometry
3615594,IBPS PO Mains,Banking,PrePG,Data Sufficiency,learn_chapter,5ec586770c88fe586096193e,Learn Quantitative Aptitude Chapters From IBPS PO Mains,Quantitative Aptitude,Quantitative Aptitude,banking--ibps po mains--quantitative aptitude--data interpretation--data sufficiency,5ec586770c88fe586096193e/Banking/IBPS PO Mains/Quantitative Aptitude/Data Interpretation/Data Sufficiency,data sufficiency
3615594,IBPS PO Mains,Banking,PrePG,Organisation of Data,learn_chapter,5ec586770c88fe586096193e,Learn Quantitative Aptitude Chapters From IBPS PO Mains,Quantitative Aptitude,Quantitative Aptitude,banking--ibps po mains--quantitative aptitude--data interpretation--organisation of data,5ec586770c88fe586096193e/Banking/IBPS PO Mains/Quantitative Aptitude/Data Interpretation/Organisation of Data,organisation of data
3615594,IBPS PO Mains,Banking,PrePG,Graphical Representation of Data,learn_chapter,5ec586770c88fe586096193e,Learn Quantitative Aptitude Chapters From IBPS PO Mains,Quantitative Aptitude,Quantitative Aptitude,banking--ibps po mains--quantitative aptitude--data interpretation--graphical representation of data,5ec586770c88fe586096193e/Banking/IBPS PO Mains/Quantitative Aptitude/Data Interpretation/Graphical Representation of Data,graphical representation of data
3615594,IBPS PO Mains,Banking,PrePG,Computer and Internet Basics,learn_chapter,5ec586770c88fe586096193e,Learn General Awareness Chapters From IBPS PO Mains,General Awareness,General Awareness,banking--ibps po mains--general awareness--computer awareness--computer and internet basics,5ec586770c88fe586096193e/Banking/IBPS PO Mains/General Awareness/Computer Awareness/Computer and Internet Basics,computer and internet basics
3615594,IBPS PO Mains,Banking,PrePG,International and Geopolitical Affairs,learn_chapter,5ec586770c88fe586096193e,Learn General Awareness Chapters From IBPS PO Mains,General Awareness,General Awareness,banking--ibps po mains--general awareness--national and international affairs--international and geopolitical affairs,5ec586770c88fe586096193e/Banking/IBPS PO Mains/General Awareness/National and International Affairs/International and Geopolitical Affairs,international and geopolitical affairs
3615594,IBPS PO Mains,Banking,PrePG,National and Geopolitical Affairs,learn_chapter,5ec586770c88fe586096193e,Learn General Awareness Chapters From IBPS PO Mains,General Awareness,General Awareness,banking--ibps po mains--general awareness--national and international affairs--national and geopolitical affairs,5ec586770c88fe586096193e/Banking/IBPS PO Mains/General Awareness/National and International Affairs/National and Geopolitical Affairs,national and geopolitical affairs
3615594,IBPS PO Mains,Banking,PrePG,"Organisations, Personalities and Events",learn_chapter,5ec586770c88fe586096193e,Learn General Awareness Chapters From IBPS PO Mains,General Awareness,General Awareness,"banking--ibps po mains--general awareness--gk panorama--organisations, personalities and events","5ec586770c88fe586096193e/Banking/IBPS PO Mains/General Awareness/GK Panorama/Organisations, Personalities and Events","organisations, personalities and events"
3615594,IBPS PO Mains,Banking,PrePG,Banking and Financial Awareness,learn_chapter,5ec586770c88fe586096193e,Learn General Awareness Chapters From IBPS PO Mains,General Awareness,General Awareness,banking--ibps po mains--general awareness--banking affairs--banking and financial awareness,5ec586770c88fe586096193e/Banking/IBPS PO Mains/General Awareness/Banking Affairs/Banking and Financial Awareness,banking and financial awareness
3615594,IBPS PO Mains,Banking,PrePG,Indian Economy,learn_chapter,5ec586770c88fe586096193e,Learn General Awareness Chapters From IBPS PO Mains,General Awareness,General Awareness,banking--ibps po mains--general awareness--economy--indian economy,5ec586770c88fe586096193e/Banking/IBPS PO Mains/General Awareness/Economy/Indian Economy,indian economy
3615594,IBPS PO Mains,Banking,PrePG,International Economy,learn_chapter,5ec586770c88fe586096193e,Learn General Awareness Chapters From IBPS PO Mains,General Awareness,General Awareness,banking--ibps po mains--general awareness--economy--international economy,5ec586770c88fe586096193e/Banking/IBPS PO Mains/General Awareness/Economy/International Economy,international economy
3615594,IBPS PO Mains,Banking,PrePG,Indian Geography,learn_chapter,5ec586770c88fe586096193e,Learn General Awareness Chapters From IBPS PO Mains,General Awareness,General Awareness,banking--ibps po mains--general awareness--geography--indian geography,5ec586770c88fe586096193e/Banking/IBPS PO Mains/General Awareness/Geography/Indian Geography,indian geography
3615594,IBPS PO Mains,Banking,PrePG,World Geography,learn_chapter,5ec586770c88fe586096193e,Learn General Awareness Chapters From IBPS PO Mains,General Awareness,General Awareness,banking--ibps po mains--general awareness--geography--world geography,5ec586770c88fe586096193e/Banking/IBPS PO Mains/General Awareness/Geography/World Geography,world geography
3615594,IBPS PO Mains,Banking,PrePG,Economic and Social Issues,learn_chapter,5ec586770c88fe586096193e,Learn General Awareness Chapters From IBPS PO Mains,General Awareness,General Awareness,banking--ibps po mains--general awareness--social issues--economic and social issues,5ec586770c88fe586096193e/Banking/IBPS PO Mains/General Awareness/Social Issues/Economic and Social Issues,economic and social issues
3615594,IBPS PO Mains,Banking,PrePG,Environmental Affairs,learn_chapter,5ec586770c88fe586096193e,Learn General Awareness Chapters From IBPS PO Mains,General Awareness,General Awareness,banking--ibps po mains--general awareness--ecology and environment--environmental affairs,5ec586770c88fe586096193e/Banking/IBPS PO Mains/General Awareness/Ecology and Environment/Environmental Affairs,environmental affairs
3615594,IBPS PO Mains,Banking,PrePG,Parajumbles,learn_chapter,5ec586770c88fe586096193e,Learn English Language Chapters From IBPS PO Mains,English Language,English Language,banking--ibps po mains--english language--non grammar--parajumbles,5ec586770c88fe586096193e/Banking/IBPS PO Mains/English Language/Non Grammar/Parajumbles,parajumbles
3615594,IBPS PO Mains,Banking,PrePG,Reading Comprehension,learn_chapter,5ec586770c88fe586096193e,Learn English Language Chapters From IBPS PO Mains,English Language,English Language,banking--ibps po mains--english language--non grammar--reading comprehension,5ec586770c88fe586096193e/Banking/IBPS PO Mains/English Language/Non Grammar/Reading Comprehension,reading comprehension
3615594,IBPS PO Mains,Banking,PrePG,Vocabulary,learn_chapter,5ec586770c88fe586096193e,Learn English Language Chapters From IBPS PO Mains,English Language,English Language,banking--ibps po mains--english language--non grammar--vocabulary,5ec586770c88fe586096193e/Banking/IBPS PO Mains/English Language/Non Grammar/Vocabulary,vocabulary
3615594,IBPS PO Mains,Banking,PrePG,Sentence Completion,learn_chapter,5ec586770c88fe586096193e,Learn English Language Chapters From IBPS PO Mains,English Language,English Language,banking--ibps po mains--english language--non grammar--sentence completion,5ec586770c88fe586096193e/Banking/IBPS PO Mains/English Language/Non Grammar/Sentence Completion,sentence completion
3615594,IBPS PO Mains,Banking,PrePG,Parts of Speech,learn_chapter,5ec586770c88fe586096193e,Learn English Language Chapters From IBPS PO Mains,English Language,English Language,banking--ibps po mains--english language--grammar--parts of speech,5ec586770c88fe586096193e/Banking/IBPS PO Mains/English Language/Grammar/Parts of Speech,parts of speech
3615594,IBPS PO Mains,Banking,PrePG,Sentence Correction,learn_chapter,5ec586770c88fe586096193e,Learn English Language Chapters From IBPS PO Mains,English Language,English Language,banking--ibps po mains--english language--grammar--sentence correction,5ec586770c88fe586096193e/Banking/IBPS PO Mains/English Language/Grammar/Sentence Correction,sentence correction
3615594,IBPS PO Mains,Banking,PrePG,Sentence Improvement,learn_chapter,5ec586770c88fe586096193e,Learn English Language Chapters From IBPS PO Mains,English Language,English Language,banking--ibps po mains--english language--grammar--sentence improvement,5ec586770c88fe586096193e/Banking/IBPS PO Mains/English Language/Grammar/Sentence Improvement,sentence improvement
